track,artist,label
You Cant Get Bitter,Bill Hicks,angry
Beetles and Spiders (Roman Flügel Remix),Kate Wax,joy
Cant Have You,Jonas Brothers,others
World of Her Own,The Wake,love
Stuff Me Up (Feat Taylor Savvy,Peaches,others
Cant Hold Back,Georg Levin,others
dream6,Carole Pope,sadness
A little noise in the system (moog system),Pauline Oliveros,fear
Who Am I? Anamatrix Edit,Peace Orchestra,fear
Room of Angel,Akira Yamaoka,fear
The Grindhouse Blues,Robert Rodriguez,joy
Dark Ages,Jethro Tull,fear
Funicular,Fernando Lagreca,love
Air Mattress,Florian Filsinger,fear
Chains,Raveonettes,sadness
La Citadelle,Jah Wobble & Temple of Sound,others
Vise La Réclame,Léo Ferré,love
Someone Must Get Hurt,She Wants Revenge,fear
Pitseleh,Elliott Smith,fear
I wanna fuck your brains out,GG Allin,joy
Pomp and Pride,Toots and The Maytals,others
Stinging Velvet,Neko Case,love
Leavin Me,Bent,love
Mixed Feelings,Logic,fear
Czerwony Notes Błękitny Prochowiec,Myslovitz,fear
Immune,Low,fear
Fireball (feat. John Ryan),Pitbull,others
Strange Days,Matthew Good Band,fear
Heimatfreund & Staatsfeind,Von Thronstahl,fear
Y.G.H.,Ricardo Villalobos,fear
Bullion,Millencolin,joy
Straight Outta Compton,N.W.A.,others
Lost And Late,Martin Dupont,angry
Josephine,Tori Amos,fear
Song for Isabelle,Stimming,sadness
His Girl Friday,The Academy Is...,others
Lemon Drop,Pistol Annies,others
Alone By A Tree,"Surfers, The",fear
Cobrastyle (feat. Mad Cobra),Teddybears,joy
Cold,Light This City,fear
Thrill Of The Kill,Johnny Crash,angry
"Looped Labyrinth, Decayed Voice",Sawako,sadness
Inspiration,Jordan Rudess,others
Mountain a Go Go Two,Captain Straydum,others
Center Of The Sun (Solarstone,Conjure One,joy
Demon Strait,LoDeck,angry
Mermaids,Nick Cave and the Bad Seeds,love
Native Faith,上海アリス幻樂団,others
Coney Island Girl,Aleksandra Kwasniewska and The Belgian Sweets,others
Hail,Anouk,love
Without You (Album Edit),Sarah Atereth,others
Winds From Untold Memories,Uneven Structure,angry
Waiting On The Sun,Sixpence None the Richer,love
Synthesist,Blondes,sadness
Julia,Eurythmics,love
0048 0729,Ólafur Arnalds,sadness
You Told Me You Loved Me,Cinematic Sunrise,joy
A red bathing suit and dark salt water.  The girl in my dream drowned.,Hanna Elson,others
The Well,Lady Laudanum,angry
Broken Bones,The Strange,fear
Keep on Movin,Five,others
The Lift (Album Version),Cut Chemist,fear
What We Fall For When Were Already Down,The Good Life,fear
the emo song,Unless,angry
coraçon leve,Herminia,joy
110206 Organizing Your Inner Committee,Ṭhānissaro Bhikkhu,fear
Blood,DJ Citalopram,joy
Knight Cain from alien Dimension 8,Hatemagick,angry
"Make It All Better (ft. Talib Kweli, Q-Tip, and Weldon Irvine)",Mos Def,angry
So Low,Hattler,love
Romanian Folk Dances,Béla Bartók,others
A Cover Over,Grouper,fear
Slip it to the Android,Chrome,angry
Hunover,Woods,love
The Assassins Dagger,Ramin Djawadi,joy
Gun Has No Trigger,Dirty Projectors,others
Tema In Hi-Fi,Nicola Conte,others
door,rumika,sadness
Papa Was a Rodeo,The Magnetic Fields,fear
Abschied (Sommermeyer),JS (Joerg Sommermeyer),others
Personal Manager (Single/LP Version),Albert King,fear
Earth Magic: 5,Starhawk,love
Scheherazade,Panda Bear,sadness
Bright Eyes - poison oak,Bright Eyes,others
10 Lat,Kombajn Do Zbierania Kur Po Wioskach,fear
Jealousy,The Films,joy
Indus,Dead Can Dance,joy
I CAN GET YOU OFF,Them Head Choppas,angry
Melhius,The Removers,others
(Dont) Give Hate a Chance (Steve Mac Classic Remix Radio Edit),Jamiroquai,love
Mexico,Incubus,fear
Spring I Allegro,Antonio Vivaldi,others
Horrid Life,Horrid Red,angry
Hair Of The Dog,Britny Fox,angry
Sacrifice,The Protagonist,joy
Cleopatra In New York (Zim Zam Mix),Nickodemus,joy
Distress And Calling,Swayzak,love
At My Funeral,Crash Test Dummies,sadness
first_drop,noise.inc,angry
Behind The Scenes,MC Ren,others
It Dont Mean A Thing (If It Aint Got That Swing),Dr. John,others
A Loaded Smile,Adam Lambert,joy
Zieh Dich aus kleine Maus - 2010 Party Version,Naddel,sadness
Huh Hah Dschinghis Khan,Dschinghis Khan,others
Picture of You,My Morning Jacket,fear
Bullets Included No Thought Required,Ignite,joy
A Little Bit,Tristan Prettyman,love
Diabolic Symphony,Steel Attack,angry
Playmate,MC Solaar,fear
セイレーン －Ήρωες Αργοναύτες－,VAGRANCY,fear
Shrink,Dead Kennedys,others
Thats Right,Jesse Cook,others
Ibidem,Phase,joy
"Step Into My Office, Baby",Belle and Sebastian,others
Mother Heroic,Björk,love
Ведьмин дом,ɪɲ ʕʰɘɼɾʏ ɟȺɱɨʟʮ,angry
Escalay: Hamza El Din,Joan Jeanrenaud,love
Written All Over Your Face,Holy Shit,love
All Is Loneliness,Janis Joplin,fear
Thais: Meditation,Jules Massenet,fear
Midwives,Frozen Silence,love
The Runaways,Anberlin,angry
Mutha (Dont Wanna Go To School Today),Extreme,angry
Im So Lonesome I Could Cry,Cowboy Junkies,fear
BurrJuhWahWah Speedbump,Skerror,fear
Such A Small Love,Scott Walker,joy
Буду,Стася,fear
Walk Alone,Wynardtage,angry
Corazón de mimbre,Marea,others
Light,Diorama,sadness
After the Guiding Venus,Koan,sadness
Fortress of Doors,Chris Vrenna,sadness
Again And Again (Album Version),Jewel,fear
The Bells,Pedro the Lion,love
Intro,Bullet for My Valentine,joy
Rousseau,Pinback,others
Djigui,Issa Bagayogo,others
Sceptre Command,Absu,joy
Now,Wonder Girls,joy
Family Romance,Department of Eagles,love
The Feather Ass Bird,PurrPurr,joy
Deck Loader,Skerror,angry
SGNL>05 (Final Transmission),Isis,angry
Departure,Frozen Silence,love
Creepy,Milosh,fear
Romeo and Juliet,The Killers,joy
Mistletoe,Colbie Caillat,others
Lovozero,Lakes Of Russia,sadness
Your Reflection,Metricks,love
Indian Spirit,Ascent And Argus,love
Lake Of Dreams,David Arkenstone,love
The Temple Of Five (From The Eye Of Jupiter),Bear McCreary,joy
Ça plane pour moi,Plastic Bertrand,others
Yubaba,久石譲,joy
Casio Daisy,Gold Panda,love
Flavored Atmosphere,Red Buddha,others
Sabali,Amadou & Mariam,others
Sukkafish,The Grates,love
You Can Do Better Than Me,Death Cab for Cutie,joy
Victory Day,Tom Cochrane,joy
湘南族 -cannibal coast-,オーラルヴァンパイア,angry
Feeling OK,Best Coast,others
Excuses,The Morning Benders,joy
What a Good Boy,Barenaked Ladies,fear
Haikuesque (When She Laughs),Bibio,fear
All For You,Haerts,love
Serpent Kisses and Serpent Smiles Inside the Order of Roses and Equilibrium,Ordo Rosarius Equilibrio,sadness
Why,Andrew Bird,others
Shed My Skin,Alter Bridge,fear
Here Comes the Sun,Michelle Creber,love
The Boar Chase,The Reds,angry
Escales,Martin Denny,others
13 Angels,Corrosion of Conformity,joy
Friend Of The Night (Acid Casuals Remix),Mogwai,love
Im Sande des Wahns,Heimataerde,fear
This Masquerade (Remastered LP Version),George Benson,joy
Pink,Boris with Merzbow,joy
Underneath,Adam Lambert,joy
Seems Fine,The Concretes,others
clock tower,The Society of Invisibles,angry
Were An Accordian Band,Those Darn Accordions,others
Better Days (feat. Tiger Lily),Stéphane Pompougnac,others
Steam and Sequins for Larry Levan,Matmos,others
De Zee,Trijntje Oosterhuis,love
Bruits de train,M83,fear
Secrets from the Underground,The Offspring,others
All Night (ft. Stephen Marley),Damian Jr. Gong Marley (Ft. Stephen Marley),fear
"If They Move, Kill em",Primal Scream,sadness
Herz schlägt auch im Eis,Rosenstolz,others
Keep It Simple,Cobra Starship,others
Shine,Years & Years,others
Tenderly Les Amants Slowly,Minuto Salvaje,fear
Handful of dust remix,Reverse Engineering,joy
Crocketts Theme,Jan Hammer,love
Room In My Heart (Album Version),Jonatha Brooke,love
Hollywood,Rick James,love
Stricken,Grief,angry
Super Pouvoir DAchat,La Chanson Du Dimanche,others
Still Alive (Teddybears Mix),Lisa Miskovsky,love
Special N,Mogwai,love
Miss Marples Theme,Ron Goodwin & His Orchestra,love
Crunchy Taco,Parry Gripp,joy
1986 part 3,Pneumogaastriq,angry
Saint Jude (Edited),Bauri,fear
Im Not Sorry,Morrissey,love
EXEC_with. METHOD_METAFALICA/.,霜月はるか・志方あきこ,fear
Cokane in My Brain,Die Toten Hosen,angry
Denis Moore Song (Robin Hood Theme) (Part 3),Monty Python,joy
Gravity,Merge Of Equals,love
"Fidelio, op. 72, Act I: No. 9 Abscheulicher! Wo eilst du hin?",Ludwig van Beethoven,love
Cannaballa Dance & The Well,The Maggots In The Scarecrows Eye,angry
Tracks (Tall Bodies),Chelsea Wolfe,joy
Accident Prone,Status Quo,others
Snowman,XTC,angry
"The Gadfly, op.97a: Galop",Dmitri Shostakovich,others
Father,Jack Davis and Crossbite,joy
If You Dont Know Me by Now,Seal,fear
The Day After Tomorrow,Harald Kloser,joy
Lone Wolf,Eels,fear
Lover of Mine,Beach House,love
In Held Twas In I,Procol Harum,fear
A Little Piece,Dave Gahan,love
kido / pause,Nebulo,fear
Before You Leave,Racoon,fear
Liliquoi Moon,MeShell Ndegéocello,love
Tyrants of Cruelty,Graveland,fear
Alphabetical,Phoenix,love
Bright Side,Smile Empty Soul,fear
Bring On the Day,Vaughan Penn,others
Big Joe and Phantom 309,Archers of Loaf,sadness
Gettin You Home,Chris Young,others
Father and Daughter,Paul Simon,others
These Are the Thoughts,Alanis Morissette,love
Only Human,Damh the Bard,love
II. Song of the Universal,Richard Feynman,others
The Dying of the Light,Noel Gallaghers High Flying Birds,love
The Real World,Owl City,others
The Zoo,R. Kelly,angry
Together for One Last Dance,Junior Senior,joy
Click,Good Charlotte,love
Spaceship,The Vines,fear
According to Plan,I Love You But Ive Chosen Darkness,fear
Reel Life (Evolution II),The Cinematic Orchestra,love
The Heart Of Saturday Night,Tom Waits,fear
Jai Radha Madhav,Deva Premal,fear
Ein Moment,Griffin L.O.G.,joy
I Dreamed I Dream,Sonic Youth,fear
Lord of Ages,Blood Axis,joy
Blakes View,M. Ward,love
Love Is a Game,The Magic Numbers,fear
Sweet Sixteen,Hilary Duff,others
songs written by other people,Honey Graffiti,fear
The Cloud,Jim Guthrie,sadness
All the Rowboats,Regina Spektor,joy
Bim Bam Smash,John Powell,angry
Ibiza Euphoria,Paul van Dyk,fear
Whatever (I Had A Dream),Butthole Surfers,joy
If You Need A Reason,Mason Jennings,love
Vampire,Para One,fear
We Will Be Strong,Thin Lizzy,love
Part 2,Devil Doll,joy
A Day In The Life Of Maurice Haylett,Caravan,joy
Fatigue Universelle,Troublemakers,fear
Propaganda Love,DownDownDown,others
Cant Stop Wanting,Blondie,others
Choosey Lover (Old School/New School),Aaliyah,fear
Angelic Voices,B-Tribe,sadness
Run,Cappadonna,joy
Engine,Neutral Milk Hotel,fear
15-12-2001,Stidiek,fear
Kids,Sleigh Bells,joy
Like Clockwork,The Boomtown Rats,others
Suck,The Wedding Present,joy
Neanderthal,Kaki King,love
Common People - Full Length Version / Album Version,Pulp,joy
The Crystal Method - Intro,The Crystal Method,angry
Planet Of My Dreams,Frank Zappa,others
Finer Feelings,Spoon,others
Lost Myself In Search Of You,Matt Nathanson,love
Besoin de la Lune,Manu Chao,others
Main Title Theme,John Carpenter,angry
Old Mary,The Dead Weather,love
Love Like This (feat. Sean Kingston),Natasha Bedingfield,sadness
Sex Has Come Between Us,Vitamin C,joy
Free Your Mind,Bright,others
Soil of the Incestuous,The Ruins of Beverast,fear
Juankoski here I come,Juice Leskinen,others
2/1,Brian Eno,fear
Lullaby,Byung-Woo Lee,fear
Slice of Cheese,Plaid,fear
Call,志方あきこ,joy
Malaise,Gruvis Malt,angry
Fever Chill,Akira Yamaoka,sadness
When We Escape,Minus the Bear,love
Lady Hunter Blair,Frog Pocket,sadness
Je Rame,Diamanda Galás,angry
Sara Lee,The Evens,fear
Recognition  (Feat. Daniel Myer),The Parallel Project,sadness
TounH Siah,Zailm Atoyanh Group,joy
Chips,Azealia Banks,angry
Brighter Day,The Tubes,sadness
Bus Stop,the future funk entertainment project,joy
Close to you (serge version),I hate myself but I hate you more... {James Call},fear
Face to Face/Short Circuit,Daft Punk,joy
Big Salat,Voodoo Gang,love
Manifestation by KP featuring Josh on flute and produced by J Rokka,Synchromystickz,others
For Me And My Gal,Judy Garland,joy
カッコイイ俺,金谷ヒデユキ,love
I Wanna Be Bad,Jessica Sutta,others
ELUVIUM / SEEING YOU OFF THE EDGES,Eluvium,fear
Love In The Harbour,The Bees,love
Remember My Name,Bliss,joy
Enchantment,Amethystium,love
Dreamy 17,River City Rebels,angry
Pompeii (Kat Krazy Remix),Bastille,others
Acquiescence,Banco De Gaia,love
Amo Bishop Roden,Boards of Canada,fear
Shag Tobacco,Gavin Friday,joy
Use You,Dave Gahan,joy
Yummy,Gwen Stefani,others
"Go Junior, Go Senior",Junior Senior,others
Welcome,Heather Nova,others
I Wear Your Ring,Cocteau Twins,love
America(Remix By Distorted Memory),FGFC820,fear
Inflammatus,Stabat Mater,joy
Sedona,Lifeisround,love
UR,Alanis Morissette,others
Eyes Of A Child,Aloe Blacc,love
Lucifers the Light of the World,King Dude,angry
Wake Up,The Living End,others
Bring Down The Walls,Fingers Inc.,angry
Human Ashes,In Slaughter Natives,fear
Dust,Frank Ocean,love
Love Is,Azar Baksh,fear
The Wood Hag,The Vision Bleak,angry
Forty One Ways,Azam Ali,sadness
Moola Mantra - Part I,Deva Premal,fear
Haunt Me,Arab Strap,joy
Found That Soul,Manic Street Preachers,joy
Nice and Simple,Colleen,fear
Lies,McFly,joy
Electro Musik,Benga,fear
Beyond This Filth,Wormwood,joy
Son De Amores,Andy And Lucas,love
Follow Your Path,Soothsayers,others
Betty,Kate Walsh,fear
deluded and obscene,Misophone,love
Heavenly Day,Patty Griffin,love
Dont Cry Robot,Skerror,angry
Always Returning (II),Brian Eno,sadness
Marie Floating Over The Backyard,Eels,love
Watch the Packard,Ruxpin,sadness
NeuroTransmitter (bad ending),Hamster Alliance,angry
Jingle Bell Rock(Live),Boa,others
Sonic Bloom,The Polyphonic Spree,others
Electric AlleyCat,Theo Parrish,love
ו-אבי,פחית,angry
Om Mata Kali,Shantala,sadness
Save the Night,John Legend,fear
Familiar,Agnes Obel,fear
Bedroom Toys,Duran Duran,others
Sleepless Nights,The Everly Brothers,love
When I Die,Lush,fear
Voodoo Chile,The Jimi Hendrix Experience,fear
The Heart Ask Pleasure First,Michael Nymann,others
There is a light that never goes out (The Smiths cover),The Divine Comedy,others
Impossible,Christina Aguilera,joy
Within Your Reach,The Replacements,fear
Tropical Phenomenon,Alexander Balanescu,angry
"Requiem in D minor, K. 626 - VIII. Lacrimosa",Wolfgang Amadeus Mozart,love
Cadillac Dust,Elliott BROOD,fear
Just Like We Do,Eisley,love
Southern State of Mind,Stephen Kellogg,love
Spectacular Views,Rilo Kiley,joy
Shakedown Street,Phil Lesh and Friends,fear
1983,Jimi Hendrix,fear
Hallelujah California,Luna Shadows,sadness
Freke han renn...,Jotunspor,fear
Old Dreams,Hayden,love
Wild Flower Soul,Sonic Youth,joy
"Help, Im A Rock",Frank Zappa,others
Slave,Vain,angry
Rise And Fall (Fractured Remix),Solitary Experiments,sadness
Little Lies,Alexandra Stan,others
New Coke,Deltron 3030,joy
Sirens of the Sea,"Bruno Coulais, Michele Mariana & Bernard Paganotti",others
Capture Me (Barry Bouffant Remix),Lynsey Moore,sadness
Falling Down,Travis,fear
"Sad, Like Hearts Can Be",Evan Voytas,joy
The Edge (Album Mix),Eiffel 65,angry
Time to Say Goodbye,Sarah Brightman,love
I Offered It Up To The Stars & The Night Sky,Dirty Three,fear
Gullsong,L. Pierre,others
Vodka Express,Lorn,angry
吉他手,陳綺貞,others
SprinklesKevinBeatFt.Sprinkles,JustLikeAmmy,joy
Insects,Somatic Responses,joy
Sixteen Days-Gathering Dust,This Mortal Coil,sadness
Все как у людей,Гражданская оборона,angry
Can I Ascend,Matt Redman,love
Crazy Ex-Girlfriend,Miranda Lambert,others
Drunk Song,Seabear,fear
Lemonade,Wheatus,fear
Pessimist,Wild Nothing,joy
Reasons To Quit,Cracker,sadness
Emm,Vladimir Lisanovitch,joy
Vans Song,The Suicide Machines,others
Melting Sun I: Azure Chimes,Lantlôs,sadness
Cish Cash (Feat Siouxsie Sioux,Basement Jaxx,others
Taxi (feat. Olli Banjo),Sido,angry
Happy,Liam Lynch,others
Goodnight New York,Snow & Voices,angry
Sometimes...,Erykah Badu,love
T-Spot,Bentley Rhythm Ace,joy
Popscene,Blur,others
Spaaaaace,Aperture Science Psychoacoustics Laboratory,sadness
Gold (Autechre Mix),Lamb,sadness
River People,Madina Lake,others
Always a Loser,Dirty Looks,angry
Повезло,Градусы,fear
Kompression,MRI,love
Dial Up,Ted Leo and the Pharmacists,others
Princesse voiture,Sexy Sushi,angry
RoboticalDream,Jerome and Sylvie,love
Non Entity,Fetocide,joy
Un Monde Sans Frime,Doctor Jazzs Universal Remedy,joy
Mobilia,The Field,love
Vision of Love,Mariah Carey,others
Sonata X,John Cage,sadness
Hello Girls,Freaks on Floor,fear
Fabric 27 Matthew Dear as Audion,Matthew Dear,joy
Untitled,1800s Sea Monster,fear
Cant Catch Tomorrow (Good Sho,Lostprophets,love
Outro,Unmorph,fear
Inconceivable Odds,The Music,fear
Maggot,Angelspit,joy
country medley II: a. t went mit n vent ; b. vot noar boven,De Bende Van Baflo Bill,others
Sankar Yaaré,Burkina Electric,others
Courting Blues,Bert Jansch,fear
Colonial Anthem,Bear McCreary,others
Flush,Mötley Crüe,angry
the men (remix version),Covenant,sadness
Take That,Jürgen Paape,sadness
Here Goes Something,Nada Surf,love
Can You Hear It,Rocket from the Crypt,joy
Nahwia,Baka Beyond,love
Ending of a Show,TV on the Radio,love
Shut The Fuck Up,Backyard Babies,angry
The Stately Homes of England,Noël Coward,others
Could This Be Real,Sub Focus,love
See That My Grave Is Kept Clean,灰野敬二,angry
No Hope,The Vaselines,fear
Into The White,Mark Dougherty,fear
Harlem,New Politics,others
Diving Duck Blues,Sleepy John Estes,fear
Baby Elephant Walk Java,"Billy May, Al Caiola",sadness
Post-Modern Sleaze (Reprazent Mix),Sneaker Pimps,fear
The Man Who Couldnt Afford To Orgy,John Cale,others
Learning to Fly,Bias-Ply,sadness
"Sell, Sell, Sell",Barenaked Ladies,others
Tormento E Passione,Luca Turillis Rhapsody,angry
Allegro con fuoco ma non troppo,Franz Schubert,joy
"Part I - Spectral Gateway, Pillars Of Fortune, Precious Water, Priestess Of Love",David and Steve Gordon,love
6B Panorama,Aesop Rock,love
Who Was I Kidding,Martha Wainwright,sadness
September,Spoken,joy
Falling Down,Joe Purdy,fear
1234,Feist,others
Dragon Training,John Powell,others
Never Fallin,Living Legends,fear
Ave Maria,Nina Hagen,angry
"Come On In, The Dreams Are Fine",Deee-Lite,others
Song for the Sick,Graham Coxon,joy
Pumped Up Kicks,Foster the People,others
Fehler,Grossstadtgeflüster,others
A Sweet Little Bullet From a Pretty Blue Gun,Tom Waits,fear
Give Me One Reason,Tracy Chapman,fear
Lay Down,Floetry,others
Spiritui Sancto,Hildegard von Bingen,joy
"Skin Is, My",Andrew Bird,joy
Theorema del Faya (Fire Theory) (Ian Friday Tea Party Vocal),Anto Vitale,others
Spit It Out,Aesthetic Perfection,others
Armagideon Time (Live),The Clash,love
Arisen (Airbase pres. Parc Remix),Arksun,fear
Ves,Sin Bandera,love
The Envoy,Warren Zevon,sadness
Marx & Engels,Belle and Sebastian,love
太陽のかけら,orange pekoe,others
Fur Elise,Wolfgang Amadeus Mozart,love
You Tell Me,Paul McCartney,love
Fields of Gold,The Police,joy
Reconsider Everything,311,love
Victory,PJ Harvey,joy
Its Probably Me,Eric Clapton & Sting,fear
Kuro no Liliana ~Melancholia~,志方あきこ,fear
Crooked Young,Bring Me the Horizon,joy
Rinse Me Down,Bombay Bicycle Club,angry
Sjúki skugginn,Sólstafir,fear
"Oh Haupt voll Blut und Wunden; Oh sacred head, now wounded",Markus Burger & Jan von Klewitz,joy
Ima Player,Tech N9ne,joy
No,Stidiek,fear
Commitment To Complications,Youth Code,angry
Wilderness,Oliver Shanti & Friends,sadness
Sein,Dada Dumdums,fear
You and I,Washed Out,love
S.O.B.,Lisa Marie Presley,fear
At My Heels,Daedelus,love
Thursdays Child,Isobel Campbell,love
Wild in Blue,Suicide,joy
Gitana,Shakira,others
Mecca,Sheila Chandra,angry
Dawn,Steven Halpern,love
No Trophy,The Bees,love
Love Song,Vashti Bunyan,sadness
Janine,David Bowie,others
"Buen Día, Día",Miguel Abuelo,love
The 16th Hour,deadmau5,joy
Its Okay to Think About Ending,Earlimart,fear
Youre The Storm (First Demo),The Cardigans,love
Die Prozession der Verdammten,Trollskogen,fear
Beginners Optimism,Tobias Lilja,fear
The America Song,Stephen Kellogg,love
Waltzapp,Juan María Solare,love
Survival,Somatic Responses,angry
After Dark,Kylie Minogue,others
Abyss,Cyrenic,fear
Disco Sheets,Wolf Parade,joy
Curtis 187,50 Cent,fear
"When I Want Your Opinion, Il",Fun>Da>Mental,angry
LIGHT POWERED,Deastro,others
Eurodancer,Dj Mangoo,fear
Blue Becomes You,Shelby,fear
Let It Go,James Bay,love
Smell Of Spring,N.O.H.A.,others
Dope Man Every Time,Marc Catley & The Flaming Methodists,others
ghetto and rye,Watch Out For Rockets,joy
Easy,Nik Kershaw,angry
We Are the Future,Non Phixion,love
Floating (Time Isnt Working My Side),Portugal. The Man,joy
The Drowning Season (original 1996 mix),Assemblage 23,love
The Moment You Said Yes,Soltero,fear
2/1 (2004 Digital Remaster),Brian Eno,fear
Satanischer Sex,Anton LaVey,joy
Whorses,Biffy Clyro,love
Your Joy Is My Low,IAMX,joy
Razzamatazz,Patti Austin,others
My Fair Lady,The Bird and the Bee,joy
With Whiskey,Tunng,joy
A Forest,The Cure,fear
Keep On,Robbie Williams,joy
Maple Leaf Rag,Joshua Rifkin,love
Long Live Rock,The Who,others
Single K.O.,Wire,angry
Trash,Laurneá,love
Drink Deep,Rites of Spring,angry
You Should Do It Now While Its on Your Mind,Owen,fear
One Great City!,The Weakerthans,love
Fallin,Asher Roth,love
Berlin,Black Rebel Motorcycle Club,others
Hanging High,Lykke Li,fear
Get This Right!,Raised Fist,joy
hypnoschleife - indianer,Joe Cramer,sadness
Our Hearts Are Wrong,Jessica Lea Mayfield,love
Requiem on Frankfort Ave.,Eluvium,joy
Fifteen,John Most,joy
Taxi  (LP Version),Harry Chapin,sadness
Rondeau (Purcell) Solo,Ben Grimm & The Things,others
Nirvana,Adam Lambert,others
Immer noch (live),Soul in Sadness,love
Season of the Shark,Yo La Tengo,love
Most Likely You Go Your Way  (And Ill Go Mine) (Live),Bob Dylan and The Band,angry
Kiss Me Like That,Kiley Dean,fear
Bad Girls,相川七瀬,others
Faithfully Dangerous,Over the Rhine,love
KARMA,KOKIA,joy
Fly Away,Sturm und Drang,angry
What Am I to Say,Sum 41,joy
Over You,Matt Wertz,love
Sunny Moon,The Cat Empire,others
The Storm,Doves,love
Scene IV (Act IV Scene II): Boriss Final Prayer,Modest Petrovich Mussorgsky,fear
New Gouda,BS 2000,others
God Give Me Strength,Elvis Costello,joy
Sing Me To Heaven,Daniel Gawthrop,others
Che cossè lamour,Vinicio Capossela,joy
Oomgar,FOWL,others
All Said & Done (prod. by DJ Khalil),Evidence,love
The Luxury of Dirt,Aix Em Klemm,joy
Driving on the Freeway,Wonaldo,angry
Dry Clothes,Annuals,love
Blue Eyes,Guillemots,angry
Dark Heart Dawning,BT,fear
As If We Never Said Goodbye,Patti LuPone,joy
2112 Crescent Heights,Yasume,fear
Thinking Like That,Hope Sandoval & The Warm Inventions,love
Cosmic ascension,Astral Projection,fear
Shivoham,Manish Vyas,sadness
Axe To The Wax,Johnny Crash,angry
Allégresse,Maria Schneider Orchestra,love
Order of the Golden Dawn,Daedelus,love
Perfect Exceeder (Vocal Club Mix),Princess Superstar,sadness
Despedida,Julieta Venegas,others
Mix The Vibe: Club 69 (Continuous Mix),Peter Rauhofer,angry
Heartbreaker,Vices I Admire,others
Nie Ma Nie Ma Ciebie,Kayah i Bregović,joy
Somewhat Damaged,Nine Inch Nails,angry
Playing With Charlie,John Ottman,joy
Va bene così,Nek,angry
Onna Goroshi (Violet Sun),Asmorod,angry
The Bishop,Battle of Mice,joy
Walk the Rain,Sneaker Pimps,fear
The Calling Illusion,Cultus Sanguine,sadness
Skudrinka,Eisenfunk,joy
I Am The Resurrection,John Fahey,fear
I Burn for You (Live),Sting,others
Joshua Fit the Battle of Jericho,Mahalia Jackson,joy
Waving Flags,British Sea Power,joy
Un Temps Perit,Jfod Gumt,angry
Aliveralungakidneyathumb,The pAper chAse,angry
The Flood/The Blood,Rob Bobby Birdman Kieswetter,angry
The Great Deception,Van Morrison,fear
Dont Know,Stereo MCs,others
A Kingdom,Lanterns on the Lake,love
Yokai,Mosh,love
Make War (Short Version),Bright Eyes,others
Benediction and Dream,Lila Downs,joy
Jean-Fran,灰野敬二,fear
The Grey Wall and the Prison Bars,志方あきこ,joy
I. Allegro assai,Ludwig van Beethoven,others
Bad City,Stidiek,joy
Sur Un Prélude De Bach,Maurane,love
Kick Out the Jams,Jeff Buckley,angry
Insurgence,Cyanotic,angry
Babylon Brainwash,JustLikeAmmy,sadness
Lady in Red,Chris de Burgh,others
A to co mam...,Kasia Kowalska,angry
Once In The Morning,Diana Ross,others
Poisson Mort,Isolée,love
Sea of Love,Cat Power,joy
If I Was Your Man,Joan Osborne,joy
Xenogears Pillar of Salt OC ReMix,Star Salzman,love
Get on the Natch,Boz Scaggs,sadness
Sing,Slowdive,love
Lip & Hip,HyunA,others
eu não sou um bom lugar,Hotel Avenida,angry
All I want for Christmazz,Christmazz,joy
XRUZT,Return to Mono,angry
Memories,Syntetika,sadness
"Maybe, This Time",OK Go,joy
The Ballad of Barry Allen,Jims Big Ego,sadness
"The Crane Wife, Pt. 3",The Decemberists,love
Sacred To The Pain,Axiom Funk,joy
Amber,Afro Celt Sound System,joy
Its Complicated Being a Wizard,Portugal. The Man,fear
Love Is Calling Earth,Robbie Williams,love
Call & Response,Source Direct,fear
To Sing for You,Donovan,love
Zero,Chloe Goodchild,sadness
Alibis,Marianas Trench,joy
Rat In A Cage,The Smashing Pumpkins,angry
endless end,Tujiko Noriko,sadness
Supermarkt,Juri Gagarin,love
04 - Gert Emmens - Dawn,Gert Emmens,others
Дизайнеры,Minenok,fear
Europa calling,Von Thronstahl,fear
True Faith Not Religion (demo 2002),Holy Cross,joy
Up in the North,The Fiery Furnaces,love
Sagittarius Silver Announcement,The Flaming Lips,fear
Nats Alien,Here We Go Magic,love
Graham Greene,John Cale,love
The Phoenix Rises,Kaya Project,love
Poison,The Constantines,fear
Deadly Combination,Big L,love
Didnt Mean to Turn You On,Mariah Carey,others
Digital Lion,James Blake,love
Go Away,Cold,fear
blink of an eye,Mike Garlington & the Mishap Crew,joy
Deads dream,水月陵,sadness
You & I,Fightstar,fear
Something Beautiful,Great Big Sea,love
Heroes of the sidewalk,Two Hours Traffic,others
Son of Orange County,Frank Zappa,sadness
Big Mouth,Santigold,others
Brain Damage,Robbie Krieger,fear
Wheres the Fun in Forever,Miguel,love
Short Dress Woman,Muddy Waters,fear
Time To Slow It Down,Gary B,joy
The Picture (Bordeaux),Ephel Duath,fear
Memory-Trace,Converter,fear
The Adventurer,Ennio Morricone,joy
Nothing Can Ever Come Between Us,Chuck Jackson,others
The Galtee Hunt,Clannad,love
Plus3,LSF,angry
Title Track,UniVerse MCs,joy
Vieux Continent,Nebel,sadness
Regő Rejtem,The Moon and the Nightspirit,sadness
To Forgive,The Smashing Pumpkins,fear
